system_size_kw,tilt,azimuth,losses,tilt_deviation,azimuth_deviation,latitude,solrad_annual,ac_annual,city,region,effective_irradiance,azimuth_cos_factor,combined_orientation_factor,loss_adjusted_capacity,theoretical_max_kwh,capacity_factor,latitude_tilt_ratio,north_distance,solrad_per_lat_degree,size_x_solrad,size_x_orientation
12.06,35.1,321.7,15.3,11.450000000000005,-38.30000000000001,-23.65,6.260674307900832,19818.9,Antofagasta,Antofagasta,6.136076326257986,0.7847763705330828,0.7691579966965741,10.21482,23342.356313848522,0.1875979690588155,1.4841437632135308,38.30000000000001,0.26472195805077514,75.50373215328403,9.276045440160685
7.71,24.4,5.7,18.8,0.75,5.699999999999989,-23.65,6.260674307900832,13086.5,Antofagasta,Antofagasta,6.260137940744522,0.9950555699612263,0.9949703211365499,6.2605200000000005,14306.203002106251,0.19376040130530828,1.0317124735729386,5.7,0.26472195805077514,48.269798913915416,7.6712211759628
13.16,28.3,18.4,17.6,4.650000000000002,18.40000000000001,-23.65,6.260674307900832,22354.7,Antofagasta,Antofagasta,6.240067374518547,0.9488760116444965,0.9457527977863135,10.84384,24779.758927750383,0.1939138596272085,1.1966173361522199,18.4,0.26472195805077514,82.39047389197495,12.446106818867886
11.07,23.2,9.4,17.1,-0.4499999999999993,9.400000000000006,-23.65,6.260674307900832,19158.9,Antofagasta,Antofagasta,6.260481213959971,0.9865721616069694,0.9865417333979205,9.17703,20970.854519499837,0.19756901906918614,0.9809725158562368,9.4,0.26472195805077514,69.30566458846221,10.92101698871498
3.22,22.3,15.8,11.8,-1.349999999999998,15.800000000000011,-23.65,6.260674307900832,5903.1,Antofagasta,Antofagasta,6.2589365338980185,0.9622179935292853,0.9619509108905854,2.84004,6489.906393414897,0.20927635497319835,0.9429175475687105,15.8,0.26472195805077514,20.15937127144068,3.097481933067685
14.68,17.4,324.9,13.6,-6.25,-35.10000000000002,-23.65,6.260674307900832,25197.9,Antofagasta,Antofagasta,6.2234629773144565,0.8181497174250232,0.8132869122211441,12.68352,28983.69654617742,0.19594500018662986,0.7357293868921776,35.10000000000002,0.26472195805077514,91.90669883998422,11.939051871406395
11.89,27.1,8.3,14.8,3.450000000000003,8.300000000000011,-23.65,6.260674307900832,21142.8,Antofagasta,Antofagasta,6.2493280456211915,0.9895257890689694,0.987732464806585,10.13028,23149.1700606622,0.2029908867818012,1.145877378435518,8.3,0.26472195805077514,74.43941752094089,11.744139006550297
12.22,16.8,352.4,11.5,-6.849999999999998,-7.600000000000023,-23.65,6.260674307900832,22453.1,Antofagasta,Antofagasta,6.215984381787201,0.9912155402515417,0.9841400485268529,10.8147,24713.169769744123,0.20974953104798627,0.7103594080338267,7.600000000000023,0.26472195805077514,76.50544004254817,12.026191392998143
3.67,29.0,347.9,12.7,5.350000000000001,-12.100000000000025,-23.65,6.260674307900832,6635.7,Antofagasta,Antofagasta,6.2334009981931615,0.9777832367586061,0.9735237299177165,3.20391,7321.4025129666925,0.2064032697547684,1.226215644820296,12.100000000000023,0.26472195805077514,22.976674709996054,3.5728320887980196
7.86,32.3,21.8,13.1,8.649999999999999,21.80000000000001,-23.65,6.260674307900832,13885.7,Antofagasta,Antofagasta,6.189462332899484,0.9284858268809135,0.917924774470072,6.8303400000000005,15608.32496556299,0.20166991994608852,1.3657505285412261,21.8,0.26472195805077514,49.20890006010054,7.214888727334767
6.82,26.6,37.0,11.3,2.950000000000003,37.0,-23.65,6.260674307900832,12008.2,Antofagasta,Antofagasta,6.252377826566446,0.7986355100472928,0.7975771792228122,6.04934,13823.625843981239,0.2009969335422274,1.1247357293868923,37.0,0.26472195805077514,42.697798779883676,5.43947636229958
